tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
65883,DPW Maintained,Ceratonia siliqua :: Carob,3100X Fillmore St,1.0,Sidewalk: Curb side : Cutout,Private,2013-04-23,3.0,,37.798174776289294,-122.435637321312
37009,Permitted Site,Liquidambar styraciflua :: American Sweet Gum,1160 Alabama St,1.0,Sidewalk: Curb side : Cutout,Private,2002-06-08,,,37.753311244715704,-122.41111443855101
32693,DPW Maintained,Chamaerops humilis :: Mediterranean Fan Palm,3732 23rd St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-29,1.0,,37.7534451551954,-122.42610311279199
42702,Permitted Site,Prunus cerasifera :: Cherry Plum,1401 Shotwell St,2.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,,,37.746537177160604,-122.41497367347401
47159,Permitted Site,Ginkgo biloba :: Maidenhair Tree,200 San Fernando Way,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-10,,3x3,37.7331409014555,-122.46965070979601
91454,Permitted Site,Ginkgo biloba :: Maidenhair Tree,680x WASHINGTON ST,3.0,Sidewalk: Curb side : Cutout,Private,2009-04-10,,3x3,37.7955423680345,-122.404841229346
52209,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,940 Grove St,1.0,Sidewalk: Curb side : Cutout,Private,2010-05-10,18.0,4x6,37.776681825025705,-122.432505717559
3608,DPW Maintained,Quercus ilex :: Holly Oak,100X Cargo Way,44.0,Sidewalk: Curb side : Cutout,Port,2006-03-07,3.0,3X3,37.7421536371939,-122.380054237523
72669,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,203 04th Ave,6.0,Sidewalk: Curb side : Cutout,Private,1997-08-02,2.0,,37.7845894043596,-122.462463528658
88573,Permitted Site,Olea europaea :: Olive Tree,488 18th Ave,,Sidewalk: Curb side : Cutout,Private,2008-07-31,,3x3,37.7787969444241,-122.476923593538
48603,Permitted Site,Crataegus phaenopyrum :: Washington Hawthorn,45 Granville Way,1.0,Sidewalk: Curb side : Cutout,Private,2002-08-30,,,37.740638677970296,-122.461157347766
85873,Permitted Site,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,2394 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,2007-05-22,3.0,3x3,37.7589422028837,-122.414697726814
65119,DPW Maintained,Pittosporum undulatum :: Victorian Box,85 21st Ave,1.0,Sidewalk: Curb side : Cutout,Private,1989-07-24,6.0,,37.786178724039104,-122.48096112496599
38819,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,224 03rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-10-30,7.0,,37.7844411319547,-122.461227125223
91680,DPW Maintained,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,565 South Van Ness Ave,3.0,Sidewalk: Curb side : Cutout,DPW,2007-03-01,9.0,3x3,37.7641496522652,-122.41731832527799
29322,DPW Maintained,Lophostemon confertus :: Brisbane Box,1250X Portola Dr,11.0,Median : Cutout,DPW,2005-10-14,3.0,3X3,37.740047120975795,-122.46334105655001
93223,Permitted Site,Prunus serrulata :: Ornamental Cherry,1509 Shrader St,1.0,Sidewalk: Curb side : Cutout,Private,2010-03-01,,3x3,37.761388850272,-122.450600038983
13864,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1000 Market St,3.0,Sidewalk: Curb side : Cutout,DPW,1993-09-28,6.0,4x4,37.7822858053101,-122.410369845025
252997,DPW Maintained,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,1201 Tennessee St,6.0,Sidewalk: Curb side : Cutout,Private,2017-07-10,3.0,,37.756330202721,-122.389034232236
36534,Permitted Site,Prunus cerasifera :: Cherry Plum,3746 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-18,,,37.7396624346486,-122.41344605713002
29995,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,734 14th St,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-19,3.0,3x3,37.7677586821573,-122.429656338668
66032,DPW Maintained,Pittosporum undulatum :: Victorian Box,743 Paris St,1.0,Sidewalk: Curb side : Cutout,Private,1990-07-24,7.0,,37.7171832464915,-122.43823478371
113606,Section 143,Olea europaea :: Olive Tree,2900 18TH ST,4.0,Sidewalk: Curb side : Cutout,Private,2015-10-05,,3x3,37.7617728518996,-122.411570131816
181036,DPW Maintained,Podocarpus gracilor :: Fern Pine,170 Rolph St,2.0,Sidewalk: Curb side : Yard,Private,2017-10-05,3.0,Width 4ft,37.7143955675655,-122.438628565353
25200,DPW Maintained,Lophostemon confertus :: Brisbane Box,23 Franklin St,2.0,Sidewalk: Curb side : Cutout,DPW,1995-01-07,12.0,3X3,37.7745787547471,-122.420919156112
19246,DPW Maintained,Pittosporum undulatum :: Victorian Box,717 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,2007-12-04,4.0,3X3,37.776701947498296,-122.436509837189
69510,Permitted Site,Arbutus unedo :: Strawberry Tree,456 Nevada St,1.0,Sidewalk: Curb side : Cutout,Private,1994-05-24,,,37.7363008518361,-122.411767856956
65199,Permitted Site,Ficus microcarpa :: Chinese Banyan,393 Madrid St,1.0,Sidewalk: Curb side : Cutout,Private,1989-07-29,,,37.723266808431795,-122.431452793676
44444,DPW Maintained,Melaleuca quinquenervia :: Cajeput,287 South Hill Blvd,2.0,Sidewalk: Curb side : Cutout,Private,2001-03-23,9.0,,37.7091466267865,-122.429960876109
45721,Permitted Site,Pyrus calleryana :: Ornamental Pear,235 02nd St,22.0,Sidewalk: Curb side : Cutout,Private,2001-10-05,,,37.7863297261158,-122.397566379799
88649,Permitted Site,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,135 Fillmore St,,Sidewalk: Curb side : Cutout,Private,2016-05-17,3.0,3x3,37.7708222270411,-122.43045261886999
74565,DPW Maintained,Pyrus calleryana :: Ornamental Pear,2 Townsend St,13.0,Sidewalk: Curb side : Cutout,Private,1996-01-27,9.0,,37.781409515787104,-122.38967675677601
22709,Permitted Site,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1420 Turk St,6.0,Sidewalk: Curb side : Cutout,Private,2001-03-08,6.0,3X3,37.780389210721005,-122.433465208396
58970,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,225 03rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1980-04-02,19.0,,37.7840833556389,-122.461368992563
86127,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1674 24th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-18,3.0,3x3,37.7563384124724,-122.48191410379299
66694,Permitted Site,Lophostemon confertus :: Brisbane Box,281 TURK ST,1.0,Sidewalk: Curb side : Cutout,Private,1991-07-08,,,37.782707425405995,-122.413749512975
12782,DPW Maintained,Pittosporum undulatum :: Victorian Box,1916 Lake St,1.0,Sidewalk: Curb side : Cutout,DPW,2011-02-23,30.0,3x3,37.786044069371705,-122.480254344861
33858,Permitted Site,Olea europaea :: Olive Tree,23 Kronquist Ct,1.0,Sidewalk: Curb side : Cutout,Private,1997-02-12,,,37.746845115916294,-122.434914374282
31769,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,1850 Ulloa St,3.0,Sidewalk: Curb side : Cutout,Private,1995-06-19,3.0,,37.7412374811669,-122.476249599037
34041,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2450 17th St,2.0,Sidewalk: Curb side : Cutout,Private,2007-06-06,5.0,,37.764502320640396,-122.40827143170799
16286,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,700X Monterey Blvd,3.0,Median : Cutout,DPW,2003-02-02,12.0,5,37.7316223027997,-122.45117096626998
103543,DPW Maintained,Lophostemon confertus :: Brisbane Box,1980X Polk St,5.0,Sidewalk: Curb side : Cutout,Private,2013-05-22,,3x3,37.7948571127085,-122.42147809829399
54625,Permitted Site,Pittosporum crassifolium :: Karo Tree,1477 05th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1992-12-04,,,37.7609444021205,-122.461891425583
94828,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1307 05th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2010-11-10,,3x3,37.764011227741904,-122.462192388622
41574,Permitted Site,Lophostemon confertus :: Brisbane Box,55 Grattan St,1.0,Sidewalk: Curb side : Cutout,Private,1979-04-17,,,37.7640327153601,-122.448986388528
5438,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,500X Dolores St,6.0,Sidewalk: Curb side : Cutout,Rec/Park,1992-02-19,20.0,6,37.7607530425379,-122.426154109737
2665,DPW Maintained,Myoporum laetum :: Myoporum,2031 Bush St,1.0,Sidewalk: Curb side : Cutout,DPW,1991-01-01,12.0,3X3,37.787255885128396,-122.430628406293
42579,Permitted Site,Prunus cerasifera :: Cherry Plum,161 San Leandro Way,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,,,37.73381382645321,-122.468638922374
37391,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,95 Newton St,3.0,Sidewalk: Curb side : Cutout,Private,1998-06-15,,,37.7133445267591,-122.438522184842
